movies,year,genre,rating,brief summary,votes,director,actor,count_actors,count_directors,rating category,voting category
Blood Red Sky,2021,"Action, Horror, Thriller            ",6.1,A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.,21062,Peter Thorwarth,"Peri Baumeister, Carl Anton Koch, Alexander Scheer, Kais Setti",4,1,Moderate,Very Popular
The Last Letter from Your Lover,2021,"Drama, Romance            ",6.8,A pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965.,5283,Augustine Frizzell,"Shailene Woodley, Joe Alwyn, Wendy Nottingham, Felicity Jones",4,1,Moderate,Popular
Gunpowder Milkshake,2021,"Action, Adventure, Thriller            ",6.0,Three generations of women fight back against those who could take everything from them.,17989,Navot Papushado,"Karen Gillan, Lena Headey, Carla Gugino, Michelle Yeoh",4,1,Moderate,Very Popular
Fear Street: 1994,2021,"Drama, Horror, Mystery            ",6.2,A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.,50148,Leigh Janiak,"Kiana Madeira, Olivia Scott Welch, Benjamin Flores Jr",3,1,Moderate,Very Popular
Fear Street: 1978,2021,"Drama, Horror, Mystery            ",6.8,"Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival.",36634,Leigh Janiak,"Sadie Sink, Emily Rudd, Ryan Simpkins, McCabe Slye",4,1,Moderate,Very Popular
Chernobyl,2021,"Drama, History, Romance            ",5.0,A story about a heroic fireman who worked as one of Chernobyl liquidators.,4681,Danila Kozlovskiy,"Danila Kozlovskiy, Oksana Akinshina, Filipp Avdeev, Ravshana Kurkova",4,1,Moderate,Popular
Fear Street: 1666,2021,"Horror, Mystery            ",6.7,The origins of Sarah Fier's curse are finally revealed as history comes full circle on a night that changes the lives of Shadysiders forever.,27447,Leigh Janiak,"Kiana Madeira, Ashley Zukerman, Gillian Jacobs, Olivia Scott Welch",4,1,Moderate,Very Popular
Army of the Dead,2021,"Action, Crime, Horror            ",5.8,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.",132378,Zack Snyder,"Dave Bautista, Ella Purnell, Ana de la Reguera, Omari Hardwick",4,1,Moderate,Very Popular
Le dernier mercenaire,2021,"Action, Comedy            ",5.4,"A mysterious former secret service agent must urgently return to France when his estranged son is falsely accused of arms and drug trafficking by the government, following a blunder by an overzealous bureaucrat and a mafia operation.",2606,David Charhon,Jean,1,1,Moderate,Popular
Resort to Love,2021,"Comedy, Romance            ",5.7,"Erica, who ends up as the entertainment at her ex-fiancé's wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown.",1591,Steven K,"Christina Milian, Tymberlee Hill, Kayne Lee Harrison, Ruth Nadler",4,1,Moderate,Popular
The Hitman's Bodyguard,2017,"Action, Comedy, Crime            ",6.9,"The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.",205979,Patrick Hughes,"Ryan Reynolds, Samuel L",2,1,Moderate,Very Popular
Jurassic Park,1993,"Action, Adventure, Sci-Fi            ",8.1,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,897444,Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough",4,1,High,Very Popular
 Kingdom,2019,"Action, Drama, History            ",7.1,"Tragedy, betrayal and a mysterious discovery fuel a woman's vengeance for the loss of her tribe and family in this special episode of ""Kingdom.""",6388,Seong,Jun Ji,1,1,High,Popular
